reaction,name,mass_imbalance,charge_imbalance
MAR00012,,C:16.2056;H:30.7154;O:-5.36409e-16;R:-1,-1
MAR00015,,C:16.222;H:30.9664;O:-2.50668e-16;R:-1,-1
MAR00016,,C:-16.271;H:-30.8218;O:6.45642e-17;R:1,1
MAR00017,,C:6.5;H:13;R:-1,-1
MAR00021,,C:-257;H:-441;N:-31;O:-136;P:-10;R:-17;S:-2;X:-1,9
MAR00022,,C:-3270;Co:-1;Fe:-1;H:-5094;N:-895;O:-973;P:-11;S:-28;X:0.7,17
MAR00023,,C:-434;H:-594;N:-1;O:-57;X:1,7
MAR00031,,C:-13.4364;H:-19.2074;N:-0.0188;O:-4.4474;P:-0.02;R:-2.0826;X:1,0.0068
MAR00033,,C:-108;H:-164;O:-18;X:1,
MAR00034,,C:-37;H:-48;O:-14;X:1,2
MAR00035,,Br:-6;C:-588;Cl:-12;H:-621;N:-66;O:-209;S:-15,11
MAR00036,,C:-3170;H:-4890;N:-76;O:-823;P:-15;S:-23,174
MAR00037,,C:-1116;H:-1488;I:-1;N:-81;O:-299;S:-24;Se:-1,24
MAR00477,,C:-32;H:-61;N:-4;O:-24;P:-3;R:-5,-1
MAR00545,,C:-16.6164;H:-31.9336;N:-1.56364e-15;O:3.21271e-15;P:-7.09827e-16;R:1;S:6.41035e-17,-2.56414e-16
MAR00546,,C:-16.881;H:-31.9902;N:-4.53413e-16;O:4.21191e-15;P:-9.87383e-16;R:1;S:5.71646e-17,-2.28658e-16
MAR00547,,C:-17.0032;H:-32.1644;N:-6.75458e-16;O:1.99146e-15;P:-1.59801e-15;R:1;S:9.87979e-17,-3.95192e-16
MAR00548,,C:-16.8292;H:-31.8668;N:2.2855e-15;O:3.62904e-15;P:-6.62231e-16;R:1;S:3.34368e-16,-1.33747e-15
MAR00549,,C:-17.4164;H:-31.8982;N:1.50834e-15;O:9.64506e-16;P:-2.73653e-16;R:1;S:4.4539e-16,-1.78156e-15
MAR00550,,C:-17.993;H:-33.083;N:1.2863e-15;O:-8.11851e-16;P:1.70437e-16;R:1;S:5.56413e-16,-2.22565e-15
MAR00551,,C:-17.595;H:-32.8888;N:1.2863e-15;O:3.62904e-15;P:-4.95697e-16;R:1;S:3.89879e-16,-1.55952e-15
MAR00552,,C:-16.0152;H:-32.0204;N:-2.95944e-15;O:-9.46465e-15;P:2.34708e-15;R:1;S:5.20417e-18,-2.08167e-17
MAR00553,,C:-16.881;H:-31.9902;N:-4.53413e-16;O:4.21191e-15;P:-9.87383e-16;R:1;S:5.71646e-17,-2.28658e-16
MAR00555,,C:-15.6522;H:-31.5134;O:-4.53413e-16;P:-2.13452e-16;R:1,4.26905e-16
MAR00556,,C:-16.8292;H:-31.8668;O:-4.59702e-17;P:1.30104e-18;R:1,-2.60209e-18
MAR00557,,C:-17.4164;H:-31.8982;O:8.42208e-16;P:-5.42101e-17;R:1,1.0842e-16
MAR00558,,C:-17.993;H:-33.083;O:1.2863e-15;P:5.68122e-17;R:1,-1.13624e-16
MAR00559,,C:-17.595;H:-32.8888;O:2.17448e-15;P:1.30104e-18;R:1,-2.60209e-18
MAR00560,,C:-16.0152;H:-32.0204;O:-9.61037e-16;P:-2.1684e-16;R:1,4.33681e-16
MAR00561,,C:-16.881;H:-31.9902;O:-1.3971e-15;P:4.32868e-17;R:1,-8.65735e-17
MAR00685,,C:15.6522;H:31.5134;O:2.38687e-16;R:-1,-1.19344e-16
MAR00686,,C:16.881;H:31.9902;O:-2.57444e-16;R:-1,1.28722e-16
