	ID	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB	EQU	EQU LB	EQU UB	CHANGED RXN	CHANGED LB	CHANGED UB	PRINT FLUX	COMMENTS	REFERENCES	EXPLANATIONS
#	ER: Energy and redox; IC: Internal conversions; SU: Substrate utilization; BS: Biosynthesis of products; GR: Growth																		
#	Rephosphorylation of nucleoside triphosphates																	All cellular functions are dependent on a continuous supply of energy, which is derived from the sequential breakdown of organic molecules during the process of cellular respiration. The energy released during this process is ultimately stored in the form of nucleoside triphosphates (primarily ATP). In all cells, ATP forms a pool of readily available energy for all the metabolic functions of the cell [ISSN:9780443068508]. ATP is the chemical energy carrier in all living cells. Aerobic ATP generation is active in almost all cell types, but there are some cells where mitochondial activity is absent (red blood cells) or very low (some cells in the lens of the eye). Since they are so rare these tasks are still considered common to all cells	
	ER	Aerobic rephosphorylation of ATP from glucose		O2[s];glucose[s]			H2O[s];CO2[s]			ATP[c] + H2O[c] => ADP[c] + Pi[c] + H+[c]	1								
	ER	Aerobic rephosphorylation of GTP		O2[s];glucose[s]			H2O[s];CO2[s]			GTP[c] + H2O[c] => GDP[c] + Pi[c] + H+[c]	1								
	ER	Aerobic rephosphorylation of CTP		O2[s];glucose[s]			H2O[s];CO2[s]			CTP[c] + H2O[c] => CDP[c] + Pi[c] + H+[c]	1								
	ER	Aerobic rephosphorylation of UTP		O2[s];glucose[s]			H2O[s];CO2[s]			UTP[c] + H2O[c] => UDP[c] + Pi[c] + H+[c]	1								
																			
#	De novo synthesis of nucleotides																	All cells can synthesize nucleotides from simple building blocks (de novo synthesis) or by the recycling of pre-formed bases (Salvage pathway) [ISBN: 1133106293 ].	
	BS	ATP de novo synthesis		O2[s];glucose[s];NH3[s];Pi[s]			H2O[s];CO2[s]			ATP[c] + H2O[c] <=> ADP[c] + Pi[c] + H+[c]									
							ATP[c]	1											
